"tipoVoto","dataRegistroVoto","deputado_.id","deputado_.uri","deputado_.nome","deputado_.siglaPartido","deputado_.uriPartido","deputado_.siglaUf","deputado_.idLegislatura","deputado_.urlFoto","deputado_.email"
"Sim","2023-12-14T23:14:38",178933,https://dadosabertos.camara.leg.br/api/v2/deputados/178933,Sergio Souza,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,PR,57,https://www.camara.leg.br/internet/deputado/bandep/178933.jpg,dep.sergiosouza@camara.leg.br
"Obstrução","2023-12-14T23:14:35",204526,https://dadosabertos.camara.leg.br/api/v2/deputados/204526,Luiz Philippe de Orleans e Bragança,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,SP,57,https://www.camara.leg.br/internet/deputado/bandep/204526.jpg,dep.luizphilippedeorleansebraganca@camara.leg.br
"Sim","2023-12-14T23:14:27",141421,https://dadosabertos.camara.leg.br/api/v2/deputados/141421,Eduardo da Fonte,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PE,57,https://www.camara.leg.br/internet/deputado/bandep/141421.jpg,dep.eduardodafonte@camara.leg.br
"Sim","2023-12-14T23:14:27",209189,https://dadosabertos.camara.leg.br/api/v2/deputados/209189,Joseildo Ramos,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,57,https://www.camara.leg.br/internet/deputado/bandep/209189.jpg,dep.joseildoramos@camara.leg.br
"Sim","2023-12-14T23:14:20",227401,https://dadosabertos.camara.leg.br/api/v2/deputados/227401,Dr Fabio Rueda,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,AC,57,https://www.camara.leg.br/internet/deputado/bandep/227401.jpg,NA
"Sim","2023-12-14T23:14:19",160559,https://dadosabertos.camara.leg.br/api/v2/deputados/160559,Alceu Moreira,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,RS,57,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg,dep.alceumoreira@camara.leg.br
"Obstrução","2023-12-14T23:14:14",160642,https://dadosabertos.camara.leg.br/api/v2/deputados/160642,Pastor Eurico,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,PE,57,https://www.camara.leg.br/internet/deputado/bandep/160642.jpg,dep.pastoreurico@camara.leg.br
"Sim","2023-12-14T23:14:10",204453,https://dadosabertos.camara.leg.br/api/v2/deputados/204453,Natália Bonavides,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RN,57,https://www.camara.leg.br/internet/deputado/bandep/204453.jpg,dep.nataliabonavides@camara.leg.br
"Sim","2023-12-14T23:13:56",160610,https://dadosabertos.camara.leg.br/api/v2/deputados/160610,Valmir Assunção,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,57,https://www.camara.leg.br/internet/deputado/bandep/160610.jpg,dep.valmirassuncao@camara.leg.br
"Sim","2023-12-14T23:13:56",215043,https://dadosabertos.camara.leg.br/api/v2/deputados/215043,Josivaldo JP,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,MA,57,https://www.camara.leg.br/internet/deputado/bandep/215043.jpg,dep.josivaldojp@camara.leg.br
"Sim","2023-12-14T23:13:52",204566,https://dadosabertos.camara.leg.br/api/v2/deputados/204566,Marreca Filho,PATRIOTA,https://dadosabertos.camara.leg.br/api/v2/partidos/37907,MA,57,https://www.camara.leg.br/internet/deputado/bandep/204566.jpg,dep.marrecafilho@camara.leg.br
"Sim","2023-12-14T23:13:51",205550,https://dadosabertos.camara.leg.br/api/v2/deputados/205550,Jorge Braz,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RJ,57,https://www.camara.leg.br/internet/deputado/bandep/205550.jpg,dep.jorgebraz@camara.leg.br
"Não","2023-12-14T23:13:46",205865,https://dadosabertos.camara.leg.br/api/v2/deputados/205865,Reinhold Stephanes,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PR,57,https://www.camara.leg.br/internet/deputado/bandep/205865.jpg,dep.reinholdstephanes@camara.leg.br
"Sim","2023-12-14T23:13:45",204450,https://dadosabertos.camara.leg.br/api/v2/deputados/204450,Doutor Luizinho,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RJ,57,https://www.camara.leg.br/internet/deputado/bandep/204450.jpg,dep.doutorluizinho@camara.leg.br
"Sim","2023-12-14T23:13:40",204489,https://dadosabertos.camara.leg.br/api/v2/deputados/204489,Robério Monteiro,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,57,https://www.camara.leg.br/internet/deputado/bandep/204489.jpg,dep.roberiomonteiro@camara.leg.br
"Obstrução","2023-12-14T23:13:39",227310,https://dadosabertos.camara.leg.br/api/v2/deputados/227310,Silvio Antonio,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MA,57,https://www.camara.leg.br/internet/deputado/bandep/227310.jpg,NA
"Abstenção","2023-12-14T23:13:38",204441,https://dadosabertos.camara.leg.br/api/v2/deputados/204441,Otoni de Paula,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,RJ,57,https://www.camara.leg.br/internet/deputado/bandep/204441.jpg,dep.otonidepaula@camara.leg.br
"Obstrução","2023-12-14T23:13:31",220621,https://dadosabertos.camara.leg.br/api/v2/deputados/220621,Sargento Gonçalves,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RN,57,https://www.camara.leg.br/internet/deputado/bandep/220621.jpg,dep.sargentogoncalves@camara.leg.br
"Sim","2023-12-14T23:13:23",221329,https://dadosabertos.camara.leg.br/api/v2/deputados/221329,Ricardo Abrão,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,RJ,57,https://www.camara.leg.br/internet/deputado/bandep/221329.jpg,NA
"Sim","2023-12-14T23:13:21", 74550,https://dadosabertos.camara.leg.br/api/v2/deputados/74550,João Leão,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,BA,57,https://www.camara.leg.br/internet/deputado/bandep/74550.jpg,dep.joaoleao@camara.leg.br
"Sim","2023-12-14T23:13:21",204445,https://dadosabertos.camara.leg.br/api/v2/deputados/204445,Fernando Mineiro,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RN,57,https://www.camara.leg.br/internet/deputado/bandep/204445.jpg,dep.fernandomineiro@camara.leg.br
"Não","2023-12-14T23:13:20",204387,https://dadosabertos.camara.leg.br/api/v2/deputados/204387,Sargento Fahur,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PR,57,https://www.camara.leg.br/internet/deputado/bandep/204387.jpg,dep.sargentofahur@camara.leg.br
"Sim","2023-12-14T23:13:19", 74856,https://dadosabertos.camara.leg.br/api/v2/deputados/74856,Laura Carneiro,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RJ,57,https://www.camara.leg.br/internet/deputado/bandep/74856.jpg,dep.lauracarneiro@camara.leg.br
"Sim","2023-12-14T23:13:17",171786,https://dadosabertos.camara.leg.br/api/v2/deputados/171786,Miguel Ângelo,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,MG,57,https://www.camara.leg.br/internet/deputado/bandep/171786.jpg,dep.miguelangelo@camara.leg.br
"Não","2023-12-14T23:13:13",220583,https://dadosabertos.camara.leg.br/api/v2/deputados/220583,Delegado Fabio Costa,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,AL,57,https://www.camara.leg.br/internet/deputado/bandep/220583.jpg,dep.delegadofabiocosta@camara.leg.br
"Sim","2023-12-14T23:13:11",178843,https://dadosabertos.camara.leg.br/api/v2/deputados/178843,Marx Beltrão,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,AL,57,https://www.camara.leg.br/internet/deputado/bandep/178843.jpg,dep.marxbeltrao@camara.leg.br
"Sim","2023-12-14T23:13:06",219585,https://dadosabertos.camara.leg.br/api/v2/deputados/219585,Marco Brasil,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PR,57,https://www.camara.leg.br/internet/deputado/bandep/219585.jpg,dep.marcobrasil@camara.leg.br
"Sim","2023-12-14T23:13:04",198783,https://dadosabertos.camara.leg.br/api/v2/deputados/198783,Emanuel Pinheiro Neto,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MT,57,https://www.camara.leg.br/internet/deputado/bandep/198783.jpg,dep.emanuelpinheironeto@camara.leg.br
"Não","2023-12-14T23:12:59",220576,https://dadosabertos.camara.leg.br/api/v2/deputados/220576,Alfredo Gaspar,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,AL,57,https://www.camara.leg.br/internet/deputado/bandep/220576.jpg,dep.alfredogaspar@camara.leg.br
