"id","uri","data","dataHoraRegistro","siglaOrgao","uriOrgao","uriEvento","proposicaoObjeto","uriProposicaoObjeto","descricao","aprovacao"
"2345508-7","https://dadosabertos.camara.leg.br/api/v2/votacoes/2345508-7","2023-01-09",NA,"MESA","https://dadosabertos.camara.leg.br/api/v2/orgaos/4",NA,NA,NA,"Apresentação do Voto em Separado n. 1 MESA, pela Deputada Carla Zambelli (PL/SP).",0
"2345502-6","https://dadosabertos.camara.leg.br/api/v2/votacoes/2345502-6","2023-01-09","2023-01-09T20:58:24","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67053","REQ 1/2023","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345502","Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1
"2345501-17","https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-17","2023-01-09","2023-01-09T20:58:25","SECAP(SGM)","https://dadosabertos.camara.leg.br/api/v2/orgaos/100001",NA,NA,NA,"Realizar o encaminhamento da MSC-14/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
"2345501-18","https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-18","2023-01-09","2023-01-09T20:58:25","SECAP(SGM)","https://dadosabertos.camara.leg.br/api/v2/orgaos/100001",NA,NA,NA,"Realizar o encaminhamento da MSC-14/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1
"2345501-25","https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-25","2023-01-09","2023-01-09T21:22:12","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67053",NA,NA,"Rejeitado o Requerimento.",0
"2345501-26","https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-26","2023-01-09","2023-01-09T21:22:30","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67053",NA,NA,"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.",1
"2345501-28","https://dadosabertos.camara.leg.br/api/v2/votacoes/2345501-28","2023-01-09","2023-01-09T21:22:54","PLEN","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","https://dadosabertos.camara.leg.br/api/v2/eventos/67053",NA,NA,"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).",1
"110085-159","https://dadosabertos.camara.leg.br/api/v2/votacoes/110085-159","2023-01-31","2023-02-03T15:26:40","CCJC","https://dadosabertos.camara.leg.br/api/v2/orgaos/2003",NA,NA,NA,"PARECER CONSIDERADO VÁLIDO, NOS TERMOS DO § 2º DO ART 105 DO RICD, ENQUANTO APENSADO AO PRC 145/1993: REJEIÇÃO DO PARECER DO RELATOR, DEP RICARDO FIUZA.
APROVAÇÃO DO PARECER DO DEP INALDO LEITÃO, DESIGNADO RELATOR DO VENCEDOR, PELA CONSTITUCIONALIDADE, JURIDICIDADE, TECNICA LEGISLATIVA E, NO MERITO, PELA REJEIÇÃO, CONTRA O VOTO EM SEPARADO DO DEP RICARDO FIUZA.",1
"266409-126","https://dadosabertos.camara.leg.br/api/v2/votacoes/266409-126","2023-01-31","2023-02-03T15:37:28","CCJC","https://dadosabertos.camara.leg.br/api/v2/orgaos/2003",NA,NA,NA,"[PARECER CONSIDERADO VÁLIDO, NOS TERMOS DO § 2º DO ART 105 DO RICD, ENQUANTO APENSADO AO PRC 62/1991]: APROVAÇÃO UNANIME DO PARECER DO RELATOR, DEP CLEONANCIO FONSECA, PELA CONSTITUCIONALIDADE, JURIDICIDADE E TECNICA LEGISLATIVA.
DCN1 05 03 93 PAG 4583 COL 01.",1
"266409-127","https://dadosabertos.camara.leg.br/api/v2/votacoes/266409-127","2023-01-31","2023-02-03T15:46:15","MESA","https://dadosabertos.camara.leg.br/api/v2/orgaos/4",NA,NA,NA,"[PARECER CONSIDERADO VÁLIDO, NOS TERMOS DO § 2º DO ART 105 DO RICD, ENQUANTO APENSADO AO PRC 62/1991]: APROVAÇÃO UNANIME DO PARECER FAVORAVEL DO RELATOR, DEP GENESIO BERNARDINO, PRIMEIRO VICE-PRESIDENTE, COM SUBSTITUTIVO.
DCN1 16 01 93 PAG 0629 COL 02.",1
