"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2421124,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421124","PRLE",1001,3,0,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421114,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421114","PRLE",1001,2,0,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421110,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421110","DTQ",1011,15,0,"Destaque de Emenda - PL 528/2020",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421109,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421109","PRLE",1001,1,0,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421108,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421108","RPD",1000,13,0,"Requerimento de Encerramento da Discussão e do Encaminhamento da Votação - PL 528/2020",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421107,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421107","DTQ",846,14,0,"Destaque para Votação em Separado - PL 528/2020",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421105,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421105","EMP",870,28,0,"Modifique-se, conforme se segue, o inciso XXV do art. 6° da Lei n° 9.478, de 6 de agosto de 1997, alterado pelo art. 30 do substitutivo oferecido ao PL 528 de 2020.",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421103,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421103","EMP",870,27,0,"Modifique-se, conforme se segue, o § 1° do art. 1° da Lei n° 13.033, de 24 de setembro de 2014, alterado pelo art. 33 do substitutivo oferecido ao PL n° 528, de 2020.",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421096,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421096","DTQ",846,13,0,"Destaque para Votação em Separado - PL 528/2020",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
2421081,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2421081","DTQ",1011,12,0,"Destaque de Emenda - PL 528/2020",2238434,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2238434","PL",139,528,2020,"Altera as Leis nº 13.033, de 24 de setembro de 2014, e nº 9.478, de 6 de agosto de 1997.  NOVA EMENTA: Dispõe sobre a promoção da mobilidade sustentável de baixo carbono e a captura e a estocagem geológica de dióxido de carbono; institui o Programa Nacional de Combustível Sustentável de Aviação (ProBioQAV), o Programa Nacional de Diesel Verde (PNDV) e o Programa Nacional de Descarbonização do Produtor e Importador de Gás Natural e de Incentivo ao Biometano; e altera as Leis nºs 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999, 8.723, de 28 de outubro de 1993, e 13.033, de 24 de setembro de 2014.","2238434-94"
